is;ferdatimi_skoli;styrikerfi_simi;aramotaskaupid;ferdamati_skoli;hljodfaeri;morgunmatur;fri;systkini_fjoldi;dyr;tonleikar;feministi;tiktok;staerdfraedi_gaman;tannrettingar;oktoberfest;smjor_kostar;havaxnari;napoleon_faeddur;stefnumot;nemendur_fjoldi;ananas_pizza;rektor_laun;stjornumerki;fjoldi_bila;skemmtilegur;spotify_minutur;utsriftarferd;messi_staerd;kosid;likamsraekt_dagar;fjoldi_tungumala;skemmtileg_konnun;namskeid
Vanilla;4;iOS;7;Gangandi / skokkandi;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;7;Hunda;Aron Can;Rétt;Rétt;6;Rétt;Rétt;768;Anna Helga;1848;Á ísrúnt;120;Rétt;1200000;Rangt;3;Sveppi;26256;Rétt;191;Rangt;5;4;Já;STÆ209
Vanilla;3;iOS;6,5;Gangandi / skokkandi;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;1;Hunda;Bríet;Rétt;Rétt;5;Rétt;Rétt;720;Anna Helga;1715;Á ísrúnt;72;Rangt;1,2;Rangt;0;Sveppi;16436;Rangt;168;Rétt;4;3;Já;STÆ209
Súkkulaði;5;iOS;2;Gangandi / skokkandi;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Aron Can;Rangt;Rangt;9;Rangt;Rangt;750;Anna Helga;1887;Á ísrúnt;120;Rangt;540000;Rangt;5;Sveppi;8225;Rangt;156;Rangt;0;3;Já;STÆ209
Vanilla;5;iOS;7;Gangandi / skokkandi;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Aron Can;Rangt;Rétt;7;Rétt;Rangt;550;Anna Helga;1895;Á ísrúnt;95;Rétt;550000;Rangt;5;Sveppi;34490;Rangt;169;Rangt;4;3;Já;STÆ209
Jarðaberja;5;iOS;6;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Bríet;Rétt;Rangt;7;Rangt;Rétt;467;Anna Helga;1768;Á kaffihús;168;Rétt;1300000;Rangt;4;Sveppi;73355;Rangt;174;Rétt;3;5;Já;STÆ209
Súkkulaði;14;iOS;5;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;1;Ketti;Bríet;Rétt;Rangt;9;Rangt;Rangt;750;Anna Helga;1845;Á ísrúnt;186;Rangt;1800000;Rangt;3;Sveppi;70493;Rétt;160;Rétt;1;4;Já;STÆ209
Jarðaberja;12;iOS;8;Gangandi / skokkandi;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;2;Hunda;Bríet;Rétt;Rétt;7;Rangt;Rétt;487;Anna Helga;1821;Á ísrúnt;70;Rangt;700000;Rétt;1;Sveppi;28714;Rétt;183;Rétt;0;3;Já;STÆ209
Vanilla;20;Android;6;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Ketti;Bríet;Rétt;Rangt;7;Rangt;Rangt;459;Anna Helga;1769;Á kaffihús;140;Rétt;1300000;Rangt;2;Villi;6000;Rangt;168;Rangt;1;3;Já;STÆ209
Vanilla;10;iOS;8;Með strætó;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rangt;Rétt;6;Rangt;Rétt;750;Anna Helga;1810;Á ísrúnt;100;Rétt;2;Rangt;2;Sveppi;40000;Rétt;160;Rangt;3;4;Já;STÆ209
Vanilla;5;iOS;7;Gangandi / skokkandi;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rangt;Rangt;9;Rétt;Rangt;999;Anna Helga;1400;Á ísrúnt;100;Rétt;900000;Rangt;4;Sveppi;59,499;Rangt;157;Rétt;6;2;Já;STÆ209
Súkkulaði;20;iOS;2;Með strætó;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;6;Hunda;Aron Can;Rétt;Rangt;8;Rétt;Rétt;699;Anna Helga;1854;Á ísrúnt;160;Rangt;2000000;Rangt;3;Sveppi;0;Rétt;169;Rangt;2;2;Já;STÆ209
Vanilla;30;iOS;6;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;4;Ketti;Gugusar;Rétt;Rétt;8;Rétt;Rangt;380;Anna Helga;1769;Á kaffihús;180;Rétt;1480000;Rangt;3;Gói;10000;Rangt;164;Rangt;3;2;Já;STÆ209
Súkkulaði;4;iOS;2;Gangandi / skokkandi;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;3;Ketti;Gugusar;Rétt;Rangt;7,5;Rangt;Rangt;500;Anna Helga;1792;Í bíó;200;Rétt;750000;Rangt;0;Sveppi;8215;Rétt;187;Rétt;5;2;Já;STÆ209
Vanilla;15;iOS;5;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rangt;Rétt;5;Rangt;Rangt;237;Anna Helga;1769;Í fjallgöngu;75;Rangt;1700000;Rangt;10;Sveppi;37000;Rangt;162;Rétt;4;4;Já;STÆ209
Súkkulaði;30;iOS;7;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Aron Can;Rétt;Rétt;4;Rétt;Rétt;500;Anna Helga;1756;Á kaffihús;88;Rangt;1500000;Rangt;2;Gói;16718;Rétt;173;Rétt;4;3;Já;STÆ209
Vanilla;40;Android;7,91;Með einkabíl;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;4;Ketti;Bríet;Rétt;Rangt;5;Rangt;Rangt;595;Anna Helga;1770;Á ísrúnt;187;Rétt;5000000;Rangt;2;Villi;16014;Rangt;160;Rangt;1;2;Já;STÆ209
Vanilla;15;iOS;7;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;4;Ketti;Bríet;Rétt;Rangt;9;Rétt;Rétt;495;Anna Helga;1886;Á kaffihús;300;Rétt;400000;Rangt;3;Gói;54076;Rangt;156;Rangt;0;2;Nei;STÆ209
Súkkulaði;30;iOS;3;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;3;Ketti;Aron Can;Rétt;Rangt;10;Rétt;Rétt;370;Anna Helga;1640;Á kaffihús;120;Rangt;1200000;Rétt;2;Gói;1000;Rétt;170;Rétt;4;1;Já;STÆ209
Súkkulaði;5;iOS;5;Gangandi / skokkandi;Rétt;Rangt;Tónleikaferð til Roskilde í Danmörku;4;Hunda;Gugusar;Rétt;Rangt;6;Rangt;Rétt;399;Anna Helga;1763;Á kaffihús;160;Rétt;1200000;Rangt;1;Sveppi;57000;Rangt;168;Rétt;4;3;Já;STÆ209
Súkkulaði;10;iOS;8;Gangandi / skokkandi;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;4;Hunda;Aron Can;Rangt;Rétt;6;Rétt;Rétt;649;Anna Helga;1775;Á ísrúnt;170;Rangt;1200000;Rangt;3;Sveppi;25000;Rangt;165;Rétt;3;2;Já;STÆ209
Vanilla;30;Android;6;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;1;Ketti;Gugusar;Rétt;Rangt;2;Rangt;Rétt;400;Anna Helga;1769;Á ísrúnt;100;Rétt;1500000;Rangt;2;Villi;130000;Rangt;150;Rétt;0;3;Já;STÆ209
Vanilla;10;Android;5;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Aron Can;Rangt;Rangt;6;Rangt;Rangt;1000;Anna Helga;1800;Á ísrúnt;100;Rétt;500000;Rangt;4;Sveppi;5000;Rétt;150;Rangt;7;3;Já;STÆ209
Vanilla;12;iOS;6;Með einkabíl;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;5;Ketti;Aron Can;Rétt;Rétt;7;Rétt;Rangt;400;Anna Helga;1498;Á ísrúnt;127;Rétt;1568493;Rangt;1;Gói;700;Rangt;156;Rétt;0;2;Já;STÆ209
Vanilla;14;iOS;7;Með strætó;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;2;Ketti;Aron Can;Rétt;Rangt;8;Rangt;Rétt;400;Anna Helga;1730;Í fjallgöngu;200;Rétt;1300000;Rangt;1;Sveppi;50000;Rangt;178;Rangt;0;2;Nei;STÆ209
Vanilla;8;iOS;4;Á hjóli / rafhlaupahjóli;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;3;Ketti;Gugusar;Rétt;Rangt;3;Rangt;Rangt;437;Anna Helga;1738;Á kaffihús;135;Rétt;900000;Rangt;1;Sveppi;28000;Rétt;172;Rétt;2;2;Já;STÆ209
Vanilla;15;iOS;7;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rétt;Rangt;8;Rangt;Rétt;400;Anna Helga;1794;Á kaffihús;150;Rangt;1200000;Rangt;3;Villi;23874;Rétt;178;Rangt;3;3;Já;STÆ209
Súkkulaði;10;Android;2;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;5;Hunda;Aron Can;Rangt;Rangt;9;Rangt;Rangt;350;Anna Helga;1930;Á ísrúnt;90;Rétt;1,5;Rangt;2;Sveppi;40000;Rangt;165;Rétt;7;4;Já;STÆ209
Súkkulaði;20;iOS;8;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;2;Ketti;Gugusar;Rétt;Rangt;4;Rangt;Rétt;;Anna Helga;1766;Á kaffihús;90;Rétt;800000;Rangt;3;Sveppi;34000;Rétt;174;Rétt;5;4;Já;STÆ209
Vanilla;5;iOS;8;Með einkabíl;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Ketti;Bríet;Rétt;Rétt;8;Rétt;Rétt;1000;Sigrún Helga;1680;Á ísrúnt;210;Rangt;600000;Rétt;2;Sveppi;16000;Rangt;167;Rétt;1;2;Já;STÆ209
Jarðaberja;40;Android;9;Með strætó;Rétt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Hunda;Bríet;Rétt;Rangt;8;Rangt;Rangt;759;Anna Helga;1860;Í bíó;250;Rangt;1400000;Rangt;2;Sveppi;0;Rangt;170;Rangt;0;5;Já;STÆ209
Vanilla;11;iOS;0;Gangandi / skokkandi;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;3;Ketti;Gugusar;Rétt;Rangt;7;Rétt;Rangt;800;Anna Helga;1750;Á kaffihús;100;Rétt;9000000;Rangt;0;Sveppi;12924;Rangt;164;Rétt;0;3;Já;STÆ209
Jarðaberja;15;iOS;9;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;2;Ketti;Bríet;Rétt;Rétt;8;Rangt;Rangt;499;Anna Helga;1770;Í bíó;110;Rétt;1400000;Rangt;2;Sveppi;3000;Rangt;172;Rétt;1;4;Já;STÆ209
Súkkulaði;10;iOS;7;Gangandi / skokkandi;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rétt;5;Rétt;Rétt;759;Anna Helga;1300;Á ísrúnt;50;Rangt;800000;Rangt;3;Sveppi;0;Rangt;160;Rangt;5;4;Já;STÆ209
Súkkulaði;30;iOS;4;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;1;Ketti;Bríet;Rétt;Rangt;4;Rangt;Rangt;598;Anna Helga;1752;Á ísrúnt;80;Rétt;1450000;Rangt;2;Sveppi;1200;Rangt;172;Rétt;2;3;Já;STÆ209
Súkkulaði;5;iOS;5;Gangandi / skokkandi;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Aron Can;Rétt;Rétt;8;Rangt;Rétt;479;Anna Helga;1610;Á kaffihús;150;Rangt;1200000;Rangt;1;Sveppi;8982;Rangt;167;Rétt;6;3;Já;STÆ209
Jarðaberja;5;iOS;7;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rangt;10;Rétt;Rétt;499;Anna Helga;1798;Á ísrúnt;197;Rétt;1200000;Rangt;3;Sveppi;1200;Rétt;157;Rétt;7;4;Nei;STÆ209
Súkkulaði;10;iOS;5;Með strætó;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;1;Hunda;Bríet;Rétt;Rangt;9;Rétt;Rangt;800;Anna Helga;1770;Á kaffihús;75;Rangt;2;Rangt;1;Sveppi;29443;Rétt;169;Rangt;3;3;Já;STÆ209
Vanilla;25;iOS;6;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;5;Ketti;Bríet;Rétt;Rangt;8;Rétt;Rétt;500;Anna Helga;1745;Í fjallgöngu;187;Rétt;900000;Rangt;3;Gói;47000;Rétt;158;Rangt;1;3;Já;STÆ209
Súkkulaði;20;iOS;6;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Bríet;Rétt;Rétt;7;Rétt;Rangt;650;Anna Helga;1750;Á ísrúnt;60;Rangt;1000000;Rangt;3;Gói;40000;Rétt;160;Rétt;6;3;Já;STÆ209
Súkkulaði;50;iOS;6;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;4;Hunda;Aron Can;Rétt;Rétt;7;Rétt;Rangt;685;Sigrún Helga;1600;Á ísrúnt;60;Rangt;;Rangt;3;Gói;47000;Rangt;170;Rétt;6;4;Já;STÆ209
Súkkulaði;5;iOS;4;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Aron Can;Rangt;Rétt;5;Rangt;Rangt;764;Sigrún Helga;46;Á ísrúnt;67;Rétt;2000000;Rangt;1;Sveppi;34000;Rangt;167;Rangt;6;2;Já;STÆ209
Jarðaberja;7;iOS;6;Gangandi / skokkandi;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;4;Ketti;Bríet;Rétt;Rétt;8;Rangt;Rangt;144;Anna Helga;1793;Á ísrúnt;112;Rétt;769000;Rangt;3;Villi;981;Rétt;190;Rétt;2;2;Já;STÆ209
Vanilla;5;iOS;7;Gangandi / skokkandi;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;1;Ketti;Bríet;Rétt;Rangt;4;Rétt;Rétt;299;Anna Helga;1790;Á kaffihús;120;Rétt;1000000;Rangt;1;Sveppi;25000;Rangt;170;Rétt;1;3;Já;STÆ209
Súkkulaði;10;iOS;6;Með strætó;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Ketti;Bríet;Rétt;Rétt;7;Rétt;Rétt;890;Anna Helga;1460;Á kaffihús;200;Rangt;1700000;Rétt;0;Sveppi;1500;Rétt;168;Rétt;2;4;Já;STÆ209
Súkkulaði;10;Android;7;Á annan hátt;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Ketti;Gugusar;Rétt;Rangt;8;Rétt;Rangt;500;Anna Helga;1701;Á kaffihús;142;Rangt;2000000;Rangt;2;Sveppi;0;Rétt;172;Rétt;3;3;Já;STÆ209
Vanilla;4;iOS;8;Gangandi / skokkandi;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;7;Hunda;Gugusar;Rétt;Rangt;10;Rangt;Rétt;599;Anna Helga;1786;Á ísrúnt;94;Rétt;1650000;Rangt;3;Sveppi;45000;Rangt;170;Rétt;7;2,5;Já;STÆ209
Súkkulaði;15;iOS;8;Með strætó;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;6;Ketti;Bríet;Rétt;Rétt;9;Rangt;Rétt;995;Anna Helga;1816;Á kaffihús;105;Rétt;800000;Rétt;1;Gói;18175;Rangt;180;Rétt;0;3;Já;STÆ209
Jarðaberja;65;iOS;4;Með strætó;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rétt;3;Rétt;Rangt;500;Anna Helga;1700;Á kaffihús;101;Rangt;469000;Rangt;9876543;Sveppi;17355;Rangt;176;Rétt;2;2;Já;STÆ209
Vanilla;6;iOS;8;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rangt;8;Rétt;Rétt;800;Anna Helga;1769;Á ísrúnt;90;Rétt;600000;Rangt;3;Gói;47000;Rétt;169;Rétt;4;3;Já;STÆ209
Jarðaberja;10;iOS;3;Með einkabíl;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Bríet;Rétt;Rétt;8;Rangt;Rangt;450;Anna Helga;452;Á ísrúnt;85;Rangt;700;Rangt;4;Sveppi;50000;Rangt;162;Rétt;0;3;Já;STÆ209
Vanilla;40;iOS;6;Með strætó;Rétt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Ketti;Gugusar;Rétt;Rangt;4;Rangt;Rangt;500;Sigrún Helga;1769;Á kaffihús;187;Rétt;1000000;Rangt;1;Sveppi;56711;Rangt;155;Rétt;0;3;Já;STÆ209
Súkkulaði;22;iOS;9;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Ketti;Aron Can;Rétt;Rangt;6;Rangt;Rétt;789;Anna Helga;1763;Á kaffihús;98;Rétt;2000000;Rangt;3;Sveppi;78000;Rétt;168;Rétt;1;4;Já;STÆ209
Súkkulaði;4;Android;7;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Aron Can;Rétt;Rétt;8;Rétt;Rangt;700;Anna Helga,Sigrún Helga;1769;Á kaffihús;123;Rétt;1200000;Rangt;1;Sveppi;10000;Rangt;169;Rétt;4;2;Já;STÆ209
Vanilla;20;Android;8;Með strætó;Rétt;Rangt;Tónleikaferð til Roskilde í Danmörku;4;Ketti;Aron Can;Rétt;Rangt;9;Rangt;Rétt;1000;Anna Helga;1765;Á kaffihús;189;Rétt;2000000;Rangt;1;Sveppi;7200;Rétt;166;Rétt;2;3;Já;STÆ209
Súkkulaði;40;Android;8;Með strætó;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Bríet;Rétt;Rétt;8;Rangt;Rétt;1100;Anna Helga;1729;Á ísrúnt;189;Rangt;1700000;Rangt;2;Sveppi;39000;Rétt;164;Rangt;7;2;Já;STÆ209
Súkkulaði;16;iOS;9;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;5;Hunda;Gugusar;Rétt;Rangt;8;Rangt;Rangt;760;Anna Helga;1769;Á kaffihús;105;Rétt;1500000;Rangt;1;Sveppi;45000;Rangt;169;Rétt;5;3;Já;STÆ209
Súkkulaði;30;iOS;7;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Bríet;Rétt;Rétt;6;Rangt;Rétt;359;Anna Helga;1457;Á kaffihús;80;Rétt;550000;Rangt;3;Gói;11520;Rétt;157;Rangt;0;2;Já;STÆ209
Vanilla;40;Android;5;Með strætó;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Ketti;Bríet;Rétt;Rangt;8;Rangt;Rangt;499;Anna Helga;1800;Á ísrúnt;130;Rétt;2000000;Rangt;2;Sveppi;120;Rétt;170;Rangt;0;2;Já;STÆ209
Jarðaberja;5;iOS;9;Gangandi / skokkandi;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Ketti;Aron Can;Rétt;Rétt;7;Rangt;Rangt;599;Anna Helga;1749;Á kaffihús;200;Rangt;600000;Rangt;0;Gói;110000;Rétt;167;Rangt;0;3,5;Já;STÆ209
Súkkulaði;45;iOS;8;Með strætó;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;3;Hunda;Gugusar;Rétt;Rangt;6;Rétt;Rangt;677;Anna Helga;1769;Á kaffihús;65;Rétt;700000;Rangt;3;Sveppi;40355;Rangt;169;Rangt;2;2;Já;STÆ209
Súkkulaði;30;iOS;5;Með strætó;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rangt;8;Rangt;Rangt;300;Anna Helga,Sigrún Helga;1812;Á kaffihús;120;Rétt;890000;Rangt;1;Gói;5000;Rangt;170;Rétt;4;3;Já;STÆ209
Jarðaberja;35;Android;8;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;3;Hunda;Bríet;Rétt;Rangt;9;Rétt;Rangt;350;Anna Helga;1830;Á kaffihús;180;Rétt;1500000;Rangt;1;Sveppi;10000;Rétt;90;Rétt;0;2;Já;STÆ209
Súkkulaði;4;Android;7;Gangandi / skokkandi;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;1;Ketti;Bríet;Rangt;Rangt;9;Rangt;Rangt;800;Anna Helga;1760;Á kaffihús;120;Rétt;100000;Rangt;0;Sveppi;0;Rangt;162;Rétt;0;2;Nei;STÆ209
Jarðaberja;5;iOS;5;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rangt;Rangt;9;Rangt;Rangt;299;Anna Helga;1819;Á kaffihús;150;Rétt;1500000;Rangt;1;Sveppi;0;Rangt;178;Rétt;4;3;Já;STÆ209
Vanilla;15;iOS;8;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rangt;10;Rangt;Rétt;300;Anna Helga;1600;Í bíó;100;Rétt;1000000;Rangt;3;Gói;9854;Rétt;167;Rangt;5;4;Já;STÆ209
Vanilla;5;Android;8;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;9;Ketti;Gugusar;Rétt;Rangt;9;Rangt;Rangt;468;Anna Helga;1877;Á kaffihús;180;Rétt;700000;Rangt;1;Sveppi;62753;Rangt;154;Rétt;3;3;Já;STÆ209
Vanilla;10;Android;3;Með einkabíl;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;3;Hunda;Gugusar;Rétt;Rangt;8;Rangt;Rangt;730;Sigrún Helga;1740;Á kaffihús;200;Rangt;1200000;Rangt;1;Sveppi;25636;Rangt;160;Rétt;5;5;Nei;STÆ209
Súkkulaði;25;iOS;8;Með einkabíl;Rétt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Hunda;Aron Can;Rétt;Rangt;8;Rétt;Rétt;650;Anna Helga;1750;Á kaffihús;187;Rangt;900000;Rétt;3;Sveppi;17860;Rétt;173;Rétt;0;3;Já;STÆ209
Súkkulaði;15;iOS;9;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;1;Ketti;Aron Can;Rétt;Rétt;4;Rétt;Rétt;300;Anna Helga;1829;Á ísrúnt;200;Rétt;1000000;Rétt;2;Sveppi;9000;Rétt;176;Rangt;0;3;Já;STÆ209
Jarðaberja;15;Android;6;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Bríet;Rétt;Rangt;5;Rétt;Rangt;415;Anna Helga;1769;Á kaffihús;191;Rangt;100000;Rangt;2;Villi;10000;Rangt;171;Rétt;0;2;Já;STÆ209
Vanilla;75;iOS;;Með strætó;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;2;Ketti;;Rétt;Rangt;9;Rétt;Rangt;800;Anna Helga,Sigrún Helga;1777;Á ísrúnt;150;Rangt;600000;Rangt;2;;0;Rangt;185;Rétt;0;3;Já;STÆ209
Vanilla;3;iOS;6;Gangandi / skokkandi;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Gugusar;Rétt;Rétt;2;Rétt;Rétt;400;Anna Helga;1736;Í fjallgöngu;178;Rangt;2100000;Rangt;0;Sveppi;12857;Rangt;167;Rétt;4;3;Já;STÆ209
Vanilla;25;Android;4;Með einkabíl;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Ketti;Gugusar;Rangt;Rangt;0;Rétt;Rangt;249;Anna Helga;;Á kaffihús;190;Rangt;900000;Rangt;2;Gói;31464;Rangt;200;Rétt;0;2;Já;STÆ209
Súkkulaði;20;Android;5;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rétt;6;Rétt;Rangt;700;Anna Helga;1780;Á kaffihús;200;Rétt;1000000;Rangt;1;Sveppi;14201;Rangt;170;Rétt;3;3;Nei;STÆ209
Súkkulaði;40;iOS;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Gugusar;Rétt;Rétt;7;Rétt;Rangt;300;Anna Helga;1750;Á kaffihús;50;Rétt;700000;Rétt;4;Sveppi;;Rangt;174;Rangt;0;2,5;Já;STÆ209
Súkkulaði;20;iOS;7;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;1;Ketti;Aron Can;Rétt;Rangt;7,5;Rétt;Rétt;632;Anna Helga;1789;Á ísrúnt;96;Rangt;800000;Rangt;2;Sveppi;75000;Rangt;168;Rétt;2;2;Já;STÆ209
Vanilla;15;iOS;8;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Aron Can;Rétt;Rangt;9;Rangt;Rangt;400;Anna Helga;1759;Í bíó;238;Rétt;2000000;Rétt;2;Gói;19000;Rangt;160;Rétt;6;5;Já;STÆ209
Vanilla;7;iOS;6;Gangandi / skokkandi;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Gugusar;Rétt;Rétt;8;Rétt;Rangt;;;1872;Á kaffihús;230;Rangt;1,5;Rangt;2;Sveppi;37000;Rangt;162;Rétt;3;2;Já;STÆ209
Vanilla;7;iOS;8;Á hjóli / rafhlaupahjóli;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Ketti;Gugusar;Rétt;Rétt;6;Rangt;Rangt;850;Anna Helga;1701;Í bíó;120;Rétt;850000;Rangt;1;Sveppi;0;Rétt;168;Rétt;0;2;Já;STÆ209
